serialNo,productId,description,startDate,endDate,term,termType,productType,productCategory,isPromotionalPriced,isPreferentiallyPriced,isElectronicallyCollected,isInsuranceProduct,firstPaymentDue,annualInterestRate,standardAnnualInterestRate,discountAnnualInterestRate,isBallonProduct,isCancellationProduct,isStaffAgentRestrictedProduct,isMySalesExclusion,isConsumerProduct,repaymentFrequency,productLayoutId
1,3000002338,Firma Gotówka bez U. 2015.07,2015-07-27T00:00:00 Z,2017-06-30T00:00:00 Z,30,WE,BL,HS,TRUE,TRUE,FALSE,TRUE,27,587.00,165.00,3.00,TRUE,TRUE,TRUE,FALSE,TRUE,WK,3
2,3000002339,Firma Gotówka bez U. 2015.07,2015-07-27T00:00:00 Z,2017-06-30T00:00:00 Z,45,WE,CL,HC,TRUE,TRUE,TRUE,FALSE,5,72.00,877.00,2.00,TRUE,TRUE,FALSE,FALSE,FALSE,WK,2
3,3000002340,Firma Gotówka bez U. 2015.07,2015-07-27T00:00:00 Z,2017-06-30T00:00:00 Z,60,WE,BL,MT,TRUE,TRUE,FALSE,FALSE,28,625.00,106.00,9.00,FALSE,FALSE,FALSE,FALSE,FALSE,MO,1
4,3000002341,Firma Gotówka bez U. 2015.07,2015-07-27T00:00:00 Z,2017-06-30T00:00:00 Z,75,WE,CL,CDE,TRUE,FALSE,TRUE,FALSE,29,157.00,673.00,7.00,TRUE,FALSE,TRUE,FALSE,FALSE,MO,1
5,3000002342,Firma Gotówka bez U. 2015.07,2015-07-27T00:00:00 Z,2017-06-30T00:00:00 Z,90,WE,BL,HS,TRUE,TRUE,TRUE,FALSE,9,215.00,703.00,1.00,FALSE,TRUE,FALSE,FALSE,TRUE,MO,6
6,3000002343,Firma Gotówka PP_P1 bez U. 2015.07,2015-07-27T00:00:00 Z,2017-06-30T00:00:00 Z,45,WE,CL,HC,TRUE,TRUE,FALSE,TRUE,13,636.00,969.00,2.00,FALSE,FALSE,TRUE,FALSE,TRUE,WK,2
7,3000002345,Firma Gotówka PP_P1 bez U. 2015.07,2015-07-27T00:00:00 Z,2017-06-30T00:00:00 Z,60,WE,CL,CDE,FALSE,FALSE,TRUE,TRUE,6,665.00,21.00,3.00,TRUE,FALSE,TRUE,FALSE,FALSE,WK,1
8,3000002347,Firma Gotówka PP_P1 bez U. 2015.07,2015-07-27T00:00:00 Z,2017-06-30T00:00:00 Z,75,WE,CL,HC,TRUE,TRUE,FALSE,FALSE,5,426.00,467.00,10.00,FALSE,FALSE,FALSE,FALSE,FALSE,WK,5
9,3000002349,Firma Gotówka PP_P1 bez U. 2015.07,2015-07-27T00:00:00 Z,2017-06-30T00:00:00 Z,90,WE,CL,CDE,FALSE,TRUE,TRUE,TRUE,24,708.00,238.00,2.00,FALSE,FALSE,FALSE,FALSE,FALSE,MO,2
10,3000002351,Firma Gotówka PP_P2 bez U. 2015.07,2015-07-27T00:00:00 Z,2017-06-30T00:00:00 Z,45,WE,CL,HC,FALSE,TRUE,FALSE,TRUE,20,946.00,45.00,2.00,FALSE,TRUE,FALSE,FALSE,FALSE,WK,6
11,3000002353,Firma Gotówka PP_P2 bez U. 2015.07,2015-07-27T00:00:00 Z,2017-06-30T00:00:00 Z,60,WE,CL,CDE,FALSE,FALSE,TRUE,TRUE,7,690.00,678.00,2.00,FALSE,TRUE,FALSE,FALSE,TRUE,MO,4
12,3000002355,Firma Gotówka PP_P2 bez U. 2015.07,2015-07-27T00:00:00 Z,2017-06-30T00:00:00 Z,75,WE,CL,HC,FALSE,FALSE,FALSE,FALSE,26,857.00,81.00,8.00,TRUE,TRUE,TRUE,FALSE,FALSE,WK,6
13,3000002358,Firma Gotówka PP_P2 bez U. 2015.07,2015-07-27T00:00:00 Z,2017-06-30T00:00:00 Z,90,WE,BL,HS,TRUE,TRUE,FALSE,TRUE,12,134.00,150.00,7.00,TRUE,TRUE,FALSE,FALSE,TRUE,MO,2
14,3000002362,Firma Gotówka PP_P3 bez U. 2015.07,2015-07-27T00:00:00 Z,2017-06-30T00:00:00 Z,45,WE,BL,HS,TRUE,TRUE,FALSE,TRUE,28,780.00,727.00,5.00,TRUE,FALSE,TRUE,FALSE,FALSE,WK,1
15,3000002365,Firma Gotówka PP_P3 bez U. 2015.07,2015-07-27T00:00:00 Z,2017-06-30T00:00:00 Z,60,WE,CL,CDE,TRUE,TRUE,FALSE,TRUE,3,421.00,497.00,7.00,TRUE,FALSE,FALSE,FALSE,TRUE,MO,5
16,3000002367,Firma Gotówka PP_P3 bez U. 2015.07,2015-07-27T00:00:00 Z,2017-06-30T00:00:00 Z,75,WE,CL,HC,FALSE,FALSE,TRUE,TRUE,20,706.00,413.00,7.00,TRUE,TRUE,FALSE,FALSE,TRUE,WK,2
17,3000002368,Firma Gotówka PP_P3 bez U. 2015.07,2015-07-27T00:00:00 Z,2017-06-30T00:00:00 Z,90,WE,BL,MT,TRUE,FALSE,TRUE,FALSE,6,370.00,291.00,2.00,FALSE,FALSE,TRUE,FALSE,TRUE,MO,5
18,3000002870,Firma Gotówka bez U. 2015.07,2015-10-05T00:00:00 Z,2017-06-30T00:00:00 Z,104,WE,CL,HC,TRUE,FALSE,TRUE,FALSE,11,44.00,871.00,2.00,TRUE,FALSE,FALSE,FALSE,TRUE,MO,2
19,3000002871,Firma Gotówka PP_P1 bez U. 2015.07,2015-10-05T00:00:00 Z,2017-06-30T00:00:00 Z,104,WE,BL,MT,TRUE,FALSE,TRUE,TRUE,19,763.00,840.00,5.00,FALSE,FALSE,TRUE,FALSE,TRUE,WK,4
20,3000002872,Firma Gotówka PP_P2 bez U. 2015.07,2015-10-05T00:00:00 Z,2017-06-30T00:00:00 Z,104,WE,CL,CDE,TRUE,FALSE,FALSE,FALSE,21,7.00,296.00,7.00,TRUE,FALSE,TRUE,FALSE,FALSE,MO,5
21,3000002873,Firma Gotówka PP_P3 bez U. 2015.07,2015-10-05T00:00:00 Z,2017-06-30T00:00:00 Z,104,WE,BL,HS,TRUE,TRUE,TRUE,FALSE,25,882.00,845.00,9.00,TRUE,TRUE,TRUE,FALSE,FALSE,WK,5
22,3000002948,Firma Mies Przelew bez U.2016.01,2016-01-25T00:00:00 Z,NULL,6,MO,BL,HS,TRUE,TRUE,TRUE,FALSE,12,912.00,985.00,2.00,FALSE,FALSE,TRUE,FALSE,FALSE,MO,4
23,3000002949,BL_Firma Mies Przelew bez U.2016.01,2016-01-25T00:00:00 Z,NULL,6,MO,CL,HC,FALSE,TRUE,TRUE,FALSE,3,476.00,983.00,6.00,TRUE,TRUE,FALSE,FALSE,TRUE,WK,4
24,3000002950,Firma Mies Przelew bez U.2016.01,2016-01-25T00:00:00 Z,NULL,9,MO,BL,MT,FALSE,FALSE,FALSE,FALSE,18,588.00,825.00,8.00,TRUE,TRUE,TRUE,FALSE,TRUE,MO,2
25,3000002951,BL_Firma Mies Przelew bez U.2016.01,2016-01-25T00:00:00 Z,NULL,9,MO,CL,CDE,FALSE,TRUE,FALSE,TRUE,20,65.00,128.00,2.00,TRUE,FALSE,TRUE,FALSE,TRUE,WK,3
