serialNo,productId,description,startDate,endDate,term,termType,productType,productCategory,isPromotionalPriced,isPreferentiallyPriced,isElectronicallyCollected,isInsuranceProduct,firstPaymentDue,annualInterestRate,standardAnnualInterestRate,discountAnnualInterestRate,isBallonProduct,isCancellationProduct,isStaffAgentRestrictedProduct,isMySalesExclusion,isConsumerProduct,repaymentFrequency,productLayoutId
1,3000002338,Firma Gotówka bez U. 2015.07,2015-07-27T00:00:00 Z,2017-06-30T00:00:00 Z,30,WE,BL,HS,TRUE,TRUE,FALSE,TRUE,27,587,165,3,TRUE,TRUE,TRUE,FALSE,TRUE,WK,3
2,3000002339,Firma Gotówka bez U. 2015.07,2015-07-27T00:00:00 Z,2017-06-30T00:00:00 Z,45,WE,CL,HC,TRUE,TRUE,TRUE,FALSE,5,72,877,2,TRUE,TRUE,FALSE,FALSE,FALSE,WK,2
3,3000002340,Firma Gotówka bez U. 2015.07,2015-07-27T00:00:00 Z,2017-06-30T00:00:00 Z,60,WE,BL,MT,TRUE,TRUE,FALSE,FALSE,28,625,106,9,FALSE,FALSE,FALSE,FALSE,FALSE,MO,1
4,3000002341,Firma Gotówka bez U. 2015.07,2015-07-27T00:00:00 Z,2017-06-30T00:00:00 Z,75,WE,CL,CDE,TRUE,FALSE,TRUE,FALSE,29,157,673,7,TRUE,FALSE,TRUE,FALSE,FALSE,MO,1
5,3000002342,Firma Gotówka bez U. 2015.07,2015-07-27T00:00:00 Z,2017-06-30T00:00:00 Z,90,WE,BL,HS,TRUE,TRUE,TRUE,FALSE,9,215,703,1,FALSE,TRUE,FALSE,FALSE,TRUE,MO,6
6,3000002343,Firma Gotówka PP_P1 bez U. 2015.07,2015-07-27T00:00:00 Z,2017-06-30T00:00:00 Z,45,WE,CL,HC,TRUE,TRUE,FALSE,TRUE,13,636,969,2,FALSE,FALSE,TRUE,FALSE,TRUE,WK,2
7,3000002345,Firma Gotówka PP_P1 bez U. 2015.07,2015-07-27T00:00:00 Z,2017-06-30T00:00:00 Z,60,WE,CL,CDE,FALSE,FALSE,TRUE,TRUE,6,665,21,3,TRUE,FALSE,TRUE,FALSE,FALSE,WK,1
8,3000002347,Firma Gotówka PP_P1 bez U. 2015.07,2015-07-27T00:00:00 Z,2017-06-30T00:00:00 Z,75,WE,CL,HC,TRUE,TRUE,FALSE,FALSE,5,426,467,10,FALSE,FALSE,FALSE,FALSE,FALSE,WK,5
9,3000002349,Firma Gotówka PP_P1 bez U. 2015.07,2015-07-27T00:00:00 Z,2017-06-30T00:00:00 Z,90,WE,CL,CDE,FALSE,TRUE,TRUE,TRUE,24,708,238,2,FALSE,FALSE,FALSE,FALSE,FALSE,MO,2
10,3000002351,Firma Gotówka PP_P2 bez U. 2015.07,2015-07-27T00:00:00 Z,2017-06-30T00:00:00 Z,45,WE,CL,HC,FALSE,TRUE,FALSE,TRUE,20,946,45,2,FALSE,TRUE,FALSE,FALSE,FALSE,WK,6
